,Voltage,l,lf,lg,li,w,wf,wg,wi
3058,3V,29.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3059,3V,29.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3060,3V,29.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3061,4V,29.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3062,4V,29.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3063,4V,29.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3064,4V,29.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3065,4V,29.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3066,4V,29.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3067,4V,29.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3068,4V,29.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3069,4V,29.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3070,5V,29.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3071,5V,29.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3072,5V,29.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3073,5V,29.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3074,5V,29.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3075,5V,29.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3076,5V,29.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3077,5V,29.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3078,5V,29.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3619,0V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3620,0V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3621,0V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3622,0V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3623,0V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3624,0V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3625,0V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3626,0V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3627,0V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3628,1V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3629,1V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3630,1V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3631,1V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3632,1V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3633,1V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3634,1V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3635,1V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3636,1V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3637,2V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3638,2V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3639,2V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3640,2V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3641,2V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3642,2V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3643,2V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3644,2V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3645,2V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3646,3V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3647,3V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3648,3V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3649,3V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3650,3V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3651,3V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3652,3V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3653,3V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3654,3V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3655,4V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3656,4V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3657,4V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3658,4V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3659,4V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3660,4V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3661,4V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3662,4V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3663,4V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
3664,5V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
3665,5V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
3666,5V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
3667,5V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
3668,5V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
3669,5V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
3670,5V,30mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
3671,5V,30mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
3672,5V,30mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4213,0V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4214,0V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4215,0V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4216,0V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4217,0V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4218,0V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4219,0V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4220,0V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4221,0V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4222,1V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4223,1V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4224,1V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4225,1V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4226,1V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4227,1V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4228,1V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4229,1V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4230,1V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4231,2V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4232,2V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4233,2V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4234,2V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4235,2V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4236,2V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4237,2V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4238,2V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4239,2V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4240,3V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4241,3V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4242,3V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4243,3V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4244,3V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4245,3V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4246,3V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4247,3V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4248,3V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4249,4V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4250,4V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4251,4V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4252,4V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4253,4V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4254,4V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4255,4V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4256,4V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4257,4V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4258,5V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4259,5V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4260,5V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4261,5V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4262,5V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4263,5V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4264,5V,30.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4265,5V,30.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4266,5V,30.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4807,0V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4808,0V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4809,0V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4810,0V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4811,0V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4812,0V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4813,0V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4814,0V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4815,0V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4816,1V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4817,1V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4818,1V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4819,1V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4820,1V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4821,1V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4822,1V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4823,1V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4824,1V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4825,2V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4826,2V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4827,2V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4828,2V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4829,2V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4830,2V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4831,2V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4832,2V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4833,2V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4834,3V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4835,3V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4836,3V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4837,3V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4838,3V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4839,3V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4840,3V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4841,3V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4842,3V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4843,4V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4844,4V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4845,4V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4846,4V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4847,4V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4848,4V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4849,4V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4850,4V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4851,4V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
4852,5V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
4853,5V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
4854,5V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
4855,5V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
4856,5V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
4857,5V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
4858,5V,31mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
4859,5V,31mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
4860,5V,31mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
5401,0V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
5402,0V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
5403,0V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
5404,0V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
5405,0V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
5406,0V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
5407,0V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
5408,0V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
5409,0V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
5410,1V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
5411,1V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
5412,1V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
5413,1V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
5414,1V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
5415,1V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
5416,1V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
5417,1V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
5418,1V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
5419,2V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
5420,2V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
5421,2V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
5422,2V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
5423,2V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
5424,2V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
5425,2V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
5426,2V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
5427,2V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
5428,3V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
5429,3V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
5430,3V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
5431,3V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
5432,3V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
5433,3V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
5434,3V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
5435,3V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
5436,3V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
5437,4V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
5438,4V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
5439,4V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
5440,4V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
5441,4V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
5442,4V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
5443,4V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
5444,4V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
5445,4V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
5446,5V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
5447,5V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
5448,5V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
5449,5V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
5450,5V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
5451,5V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
5452,5V,31.5mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
5453,5V,31.5mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
5454,5V,31.5mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
5995,0V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
5996,0V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
5997,0V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
5998,0V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
5999,0V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
6000,0V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
6001,0V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
6002,0V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
6003,0V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
6004,1V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
6005,1V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
6006,1V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
6007,1V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
6008,1V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
6009,1V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
6010,1V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
6011,1V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
6012,1V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
6013,2V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
6014,2V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
6015,2V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
6016,2V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
6017,2V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
6018,2V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
6019,2V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
6020,2V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
6021,2V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
6022,3V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
6023,3V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
6024,3V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
6025,3V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
6026,3V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
6027,3V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
6028,3V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
6029,3V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
6030,3V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
6031,4V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
6032,4V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
6033,4V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
6034,4V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
6035,4V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
6036,4V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
6037,4V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
6038,4V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
6039,4V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
6040,5V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1mm
6041,5V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1mm
6042,5V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1mm
6043,5V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,1.5mm
6044,5V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,1.5mm
6045,5V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,1.5mm
6046,5V,32mm,6mm,41.58mm,10mm,28.5mm,3mm,41.13mm,2mm
6047,5V,32mm,6mm,41.58mm,10.5mm,28.5mm,3mm,41.13mm,2mm
6048,5V,32mm,6mm,41.58mm,11mm,28.5mm,3mm,41.13mm,2mm
109,0V,27mm,6mm,41.58mm,10mm,29mm,3mm,41.13mm,1mm
110,0V,27mm,6mm,41.58mm,10.5mm,29mm,3mm,41.13mm,1mm
111,0V,27mm,6mm,41.58mm,11mm,29mm,3mm,41.13mm,1mm
112,0V,27mm,6mm,41.58mm,10mm,29mm,3mm,41.13mm,1.5mm
113,0V,27mm,6mm,41.58mm,10.5mm,29mm,3mm,41.13mm,1.5mm
114,0V,27mm,6mm,41.58mm,11mm,29mm,3mm,41.13mm,1.5mm
115,0V,27mm,6mm,41.58mm,10mm,29mm,3mm,41.13mm,2mm
116,0V,27mm,6mm,41.58mm,10.5mm,29mm,3mm,41.13mm,2mm
117,0V,27mm,6mm,41.58mm,11mm,29mm,3mm,41.13mm,2mm
118,1V,27mm,6mm,41.58mm,10mm,29mm,3mm,41.13mm,1mm
119,1V,27mm,6mm,41.58mm,10.5mm,29mm,3mm,41.13mm,1mm
120,1V,27mm,6mm,41.58mm,11mm,29mm,3mm,41.13mm,1mm
