,Voltage,l,lf,lg,li,w,wf,wg,wi
1193,0V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1194,0V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1195,0V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1196,0V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1197,0V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1198,1V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1199,1V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1200,1V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1201,1V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1202,1V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1203,1V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1204,1V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1205,1V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1206,1V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1207,2V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1208,2V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1209,2V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1210,2V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1211,2V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1212,2V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1213,2V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1214,2V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1215,2V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1216,3V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1217,3V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1218,3V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1219,3V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1220,3V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1221,3V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1222,3V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1223,3V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1224,3V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1225,4V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1226,4V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1227,4V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1228,4V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1229,4V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1230,4V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1231,4V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1232,4V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
